R屋面角铁名称,L屋面角铁名称,R百页角铁名称,L百页角铁名称,R水沟,L水沟,R水沟T铁,L水沟T铁
G4/18R10H,G4/19L10H,G4/18R1H,G4/19L1H,G4/18R1F,G4/19L2F,G4/18R1G,G4/19L1G
G4/18R11H,G4/19L11H,G4/18R2H,G4/19L2H,G4/18R2F,G4/19L3F,G4/18R2G,G4/19L2G
G4/18R12H,G4/19L12H,G4/18R3H,G4/19L3H,G4/18R3F,G4/19L4F,G4/18R3G,G4/19L3G
G4/18R13H,G4/19L13H,G4/18R4H,G4/19L4H,G4/18R4F,G4/19L5F,G4/18R4G,G4/19L4G
G4/18R14H,G4/19L14H,G4/18R5H,G4/19L5H,G4/18R5F,G4/19L6F,G4/18R5G,G4/19L5G
G4/18R15H,G4/19L15H,G4/18R6H,G4/19L6H,G4/18R6F,G4/19L7F,G4/18R6G,G4/19L6G
G4/18R16H,G4/19L16H,G4/18R7H,G4/19L7H,G4/18R7F,G4/19L8F,G4/18R7G,G4/19L7G
G4/18R17H,G4/19L17H,G4/18R8H,G4/19L8H,G4/18R8F,G4/19L9F,G4/18R8G,G4/19L8G
G4/18R18H,G4/19L18H,G4/18R9H,G4/19L9H,G4/18R9F,G4/19L10F,G4/18R9G,G4/19L9G
G4/18R19H,G4/19L19H,0,0,G4/18R10F,G4/19L11F,G4/18R10G,G4/19L10G
G4/18R20H,G4/19L20H,0,0,G4/18R11F,G4/19L12F,G4/18R11G,G4/19L11G
G4/18R21H,G4/19L21H,0,0,G4/18R12F,G4/19L13F,G4/18R12G,G4/19L12G
G4/18R22H,G4/19L22H,0,0,G4/18R13F,G4/19L14F,G4/18R13G,G4/19L13G
G4/18R23H,G4/19L23H,0,0,G4/18R14F,G4/19L15F,G4/18R14G,G4/19L14G
G4/18R24H,G4/19L24H,0,0,G4/18R15F,G4/19L16F,G4/18R15G,G4/19L15G
G4/18R25H,G4/19L25H,0,0,G4/18R16F,G4/19L17F,G4/18R16G,G4/19L16G
G4/18R26H,G4/19L26H,0,0,G4/18R17F,G4/19L18F,G4/18R17G,G4/19L17G
G4/18R27H,G4/19L27H,0,0,G4/18R18F,G4/19L19F,G4/18R18G,G4/19L18G
G4/18R28H,G4/19L28H,0,0,G4/18R19F,G4/19L20F,G4/18R19G,G4/19L19G
G4/18R29H,G4/19L29H,0,0,G4/18R20F,G4/19L21F,G4/18R20G,G4/19L20G
G4/18R30H,G4/19L30H,0,0,G4/18R21F,G4/19L22F,G4/18R21G,G4/19L21G
G4/18R31H,G4/19L31H,G4/18R55H,G4/19L55H,G4/18R22F,G4/19L23F,G4/18R22G,G4/19L22G
G4/18R32H,G4/19L32H,G4/18R56H,G4/19L56H,G4/18R23F,G4/19L24F,G4/18R23G,G4/19L23G
G4/18R33H,G4/19L33H,G4/18R57H,G4/19L57H,G4/18R24F,G4/19L25F,G4/18R24G,G4/19L24G
G4/18R34H,G4/19L34H,G4/18R58H,G4/19L58H,G4/18R25F,G4/19L26F,G4/18R25G,G4/19L25G
G4/18R35H,G4/19L35H,G4/18R59H,G4/19L59H,G4/18R26F,G4/19L27F,G4/18R26G,G4/19L26G
G4/18R36H,G4/19L36H,G4/18R60H,G4/19L60H,G4/18R27F,G4/19L28F,G4/18R27G,G4/19L27G
G4/18R37H,G4/19L37H,0,0,G4/18R28F,G4/19L29F,G4/18R28G,G4/19L28G
G4/18R38H,G4/19L38H,0,0,G4/18R29F,G4/19L30F,G4/18R29G,G4/19L29G
G4/18R39H,G4/19L39H,0,0,G4/18R30F,G4/19L31F,G4/18R30G,G4/19L30G
G4/18R40H,G4/19L40H,0,0,G4/18R31F,G4/19L32F,G4/18R31G,G4/19L31G
G4/18R41H,G4/19L41H,0,0,G4/18R32F,G4/19L33F,G4/18R32G,G4/19L32G
G4/18R42H,G4/19L42H,0,0,G4/18R33F,G4/19L34F,G4/18R33G,G4/19L33G
G4/18R43H,G4/19L43H,0,0,G4/18R34F,G4/19L35F,G4/18R34G,G4/19L34G
G4/18R44H,G4/19L44H,0,0,G4/18R35F,G4/19L36F,G4/18R35G,G4/19L35G
G4/18R45H,G4/19L45H,0,0,G4/18R36F,G4/19L37F,G4/18R36G,G4/19L36G
G4/18R46H,G4/19L46H,0,0,G4/18R37F,G4/19L38F,G4/18R37G,G4/19L37G
G4/18R47H,G4/19L47H,0,0,G4/18R38F,G4/19L39F,G4/18R38G,G4/19L38G
G4/18R48H,G4/19L48H,0,0,G4/18R39F,G4/19L40F,G4/18R39G,G4/19L39G
G4/18R49H,G4/19L49H,0,0,G4/18R40F,G4/19L41F,G4/18R40G,G4/19L40G
G4/18R50H,G4/19L50H,0,0,G4/18R41F,G4/19L42F,G4/18R41G,G4/19L41G
G4/18R51H,G4/19L51H,0,0,G4/18R42F,G4/19L43F,G4/18R42G,G4/19L42G
G4/18R52H,G4/19L52H,0,0,G4/18R43F,G4/19L44F,G4/18R43G,G4/19L43G
G4/18R53H,G4/19L53H,0,0,G4/18R44F,G4/19L45F,G4/18R44G,G4/19L44G
G4/18R54H,G4/19L54H,0,0,G4/18R45F,G4/19L46F,G4/18R45G,G4/19L45G
G4/17R11H,G4/18L11H,G4/17R1H,G4/18L1H,G4/18R46F,G4/19L47F,G4/18R46G,G4/19L46G
G4/17R12H,G4/18L12H,G4/17R2H,G4/18L2H,G4/18R47F,G4/19L48F,G4/18R47G,G4/19L47G
G4/17R13H,G4/18L13H,G4/17R3H,G4/18L3H,G4/18R48F,G4/19L49F,G4/18R48G,G4/19L48G
G4/17R14H,G4/18L14H,G4/17R4H,G4/18L4H,G4/18R49F,G4/19L50F,G4/18R49G,G4/19L49G
G4/17R15H,G4/18L15H,G4/17R5H,G4/18L5H,G4/18R50F,G4/19L51F,G4/18R50G,G4/19L50G
G4/17R16H,G4/18L16H,G4/17R6H,G4/18L6H,G4/18R51F,G4/19L52F,G4/18R51G,G4/19L51G
G4/17R17H,G4/18L17H,G4/17R7H,G4/18L7H,G4/18R52F,G4/19L53F,G4/18R52G,G4/19L52G
G4/17R18H,G4/18L18H,G4/17R8H,G4/18L8H,G4/18R53F,G4/19L54F,G4/18R53G,G4/19L53G
G4/17R19H,G4/18L19H,G4/17R9H,G4/18L9H,G4/18R54F,G4/19L55F,G4/18R54G,G4/19L54G
